AQI,Concentration,Date,Health,Location,count
30,7.3,6/24/18,Good,La Grande,24
33,7.9,6/24/18,Good,Medford,24
25,5.9,6/24/18,Good,Portland,24
23,5.6,6/23/18,Good,Bend,24
34,8.1,6/23/18,Good,La Grande,24
23,5.6,6/23/18,Good,Medford,24
12,2.9,6/23/18,Good,Portland,24
15,3.6,6/22/18,Good,Bend,24
30,7.1,6/22/18,Good,La Grande,24
11,2.7,6/22/18,Good,Medford,24
17,4,6/22/18,Good,Portland,24
18,4.4,6/21/18,Good,Bend,24
23,5.5,6/21/18,Good,La Grande,24
20,4.9,6/21/18,Good,Medford,24
18,4.3,6/21/18,Good,Portland,24
20,4.8,6/20/18,Good,Bend,24
22,5.4,6/20/18,Good,La Grande,24
28,6.8,6/20/18,Good,Medford,23
33,7.9,6/20/18,Good,Portland,24
24,5.8,6/19/18,Good,Bend,24
18,4.3,6/19/18,Good,La Grande,24
24,5.7,6/19/18,Good,Medford,24
31,7.5,6/19/18,Good,Portland,24
19,4.5,6/18/18,Good,Bend,24
16,3.9,6/18/18,Good,La Grande,24
13,3.2,6/18/18,Good,Medford,24
29,7,6/18/18,Good,Portland,24
11,2.6,6/17/18,Good,Bend,24
12,2.9,6/17/18,Good,La Grande,24
10,2.4,6/17/18,Good,Medford,24
25,5.9,6/17/18,Good,Portland,24
12,2.9,6/16/18,Good,Bend,24
12,2.8,6/16/18,Good,La Grande,24
9,2.2,6/16/18,Good,Medford,24
18,4.3,6/16/18,Good,Portland,24
13,3.1,6/15/18,Good,Bend,24
11,2.6,6/15/18,Good,La Grande,24
7,1.8,6/15/18,Good,Medford,24
11,2.6,6/15/18,Good,Portland,24
10,2.4,6/14/18,Good,Bend,24
10,2.3,6/14/18,Good,La Grande,24
5,1.1,6/14/18,Good,Medford,24
9,2.1,6/14/18,Good,Portland,24
10,2.5,6/13/18,Good,Bend,24
15,3.6,6/13/18,Good,La Grande,24
8,1.9,6/13/18,Good,Medford,24
10,2.4,6/13/18,Good,Portland,24
11,2.6,6/12/18,Good,Bend,24
12,2.8,6/12/18,Good,La Grande,24
9,2.1,6/12/18,Good,Medford,24
20,4.7,6/12/18,Good,Portland,24
11,2.7,6/11/18,Good,Bend,24
9,2.2,6/11/18,Good,La Grande,24
5,1.3,6/11/18,Good,Medford,24
20,4.8,6/11/18,Good,Portland,24
7,1.6,6/10/18,Good,Bend,24
9,2.2,6/10/18,Good,La Grande,24
5,1.3,6/10/18,Good,Medford,24
11,2.6,6/10/18,Good,Portland,24
7,1.7,6/9/18,Good,Bend,24
11,2.7,6/9/18,Good,La Grande,24
4,1,6/9/18,Good,Medford,24
15,3.6,6/9/18,Good,Portland,24
30,7.2,6/8/18,Good,Bend,24
38,9.1,6/8/18,Good,La Grande,24
35,8.3,6/8/18,Good,Medford,24
26,6.3,6/8/18,Good,Portland,24
21,5,6/7/18,Good,Bend,24
18,4.4,6/7/18,Good,La Grande,24
25,6,6/7/18,Good,Medford,24
17,4.1,6/7/18,Good,Portland,24
